T,EMS-obj-nr,DocIn,DocnrIn,Status,InEntrepot,OutEntrepot,InAV,OutAV,Weight,CN-code,CIF-value,SALE-value,ExEMS,PIO,customs,DocOut,DocnrOut,,
S,3040798X48,,,900,,,23/11/15,,26,7226110091C04100000000,1628.5,0,,284622,,,,T1,110
X,3040798X48SCRAP,,,200,23/11/15,,23/11/15,23/11/15,12,7.20429E+21,1628.5,0,,284622,ENTREPOT,,,T3,0
F,3040798X49,,,995,,,23/11/15,,6,8.5049E+21,1628.5,3300,2/12/2015,284622,,,,T2,110
F,3040798X50,,,995,,,23/11/15,,8,8.5049E+21,1628.5,3300,2/12/2015,284622,,,,T2,110
S,3044798X22,,,900,3/11/2015,9/11/2015,9/11/2015,9/11/2015,254,7226110091C04100000000,1375.5,0,,283244,USED,,,T1,160
X,3044798X22SCRAP,,,200,9/11/2015,,9/11/2015,9/11/2015,21,7.20429E+21,1375.5,0,,283244,ENTREPOT,,,T3,0
** No Customs-document record is available. (91),,,,,,,,,,,,,,,,,,,
F,3044798X23,,,800,9/11/2015,,9/11/2015,9/11/2015,233,7226110091C04100000000,1375.5,1950,11/11/2015,283244,EXIT,,,T2,150
S,3061166X03,,,900,5/11/2015,18/11/15,18/11/15,18/11/15,2957,7225110010C04100000000,1628.5,0,,283692,USED,,,T1,940
X,3061166X03SCRAP,,,200,18/11/15,,18/11/15,18/11/15,97,7.20429E+21,1628.5,0,,283692,ENTREPOT,,,T3,0
F,3061166X04,,,800,18/11/15,7/12/2015,18/11/15,18/11/15,281,7226110091C04100000000,1628.5,2790,7/12/2015,283692,EXIT,EUA,15NL1F0EB5207F7C32,T2,90
S,3061166X05,,,200,18/11/15,,18/11/15,18/11/15,485,7226110091C04100000000,1628.5,0,,283692,EU,,,T2,155
S,3061166X06,,,900,18/11/15,,18/11/15,18/11/15,484,7226110091C04100000000,1628.5,0,,283692,USED,,,T2,155
S,3061166X07,,,200,18/11/15,,18/11/15,18/11/15,484,7226110091C04100000000,1628.5,0,,283692,EU,,,T2,155
S,3061166X08,,,200,18/11/15,,18/11/15,18/11/15,547,7226110091C04100000000,1628.5,0,,283692,EU,,,T2,175
S,3061166X09,,,200,18/11/15,,18/11/15,18/11/15,579,7226110091C04100000000,1628.5,0,,283692,EU,,,T2,185
S,3061196X01,,,900,3/11/2015,5/11/2015,5/11/2015,5/11/2015,3350,7225110010C04100000000,1628.5,0,,282827,USED,,,T1,985
X,3061196X01SCRAP,,,200,5/11/2015,,5/11/2015,5/11/2015,130,7.20429E+21,1628.5,0,,282827,ENTREPOT,,,T3,0
F,3061196X03,,,800,5/11/2015,6/11/2015,5/11/2015,5/11/2015,305,7226110091C04100000000,1628.5,2790,6/11/2015,282827,EXIT,EUA,15NL1C3A9025DD9448,T2,90
F,3061196X04,,,800,5/11/2015,6/11/2015,5/11/2015,5/11/2015,406,7226110091C04100000000,1628.5,2790,6/11/2015,282827,EXIT,EUA,15NL1C3A9025DD9448,T2,120
F,3061196X05,,,800,5/11/2015,6/11/2015,5/11/2015,5/11/2015,406,7226110091C04100000000,1628.5,2790,6/11/2015,282827,EXIT,EUA,15NL1C3A9025DD9448,T2,120
F,3061196X06,,,800,5/11/2015,6/11/2015,5/11/2015,5/11/2015,406,7226110091C04100000000,1628.5,2790,6/11/2015,282827,EXIT,EUA,15NL1C3A9025DD9448,T2,120
F,3061196X07,,,800,5/11/2015,6/11/2015,5/11/2015,5/11/2015,475,7226110091C04100000000,1628.5,2790,6/11/2015,282827,EXIT,EUA,15NL1C3A9025DD9448,T2,140
F,3061196X08,,,800,5/11/2015,18/11/15,5/11/2015,5/11/2015,611,7226110091C04100000000,1628.5,2790,18/11/15,282827,EXIT,EUA,15NL1D5243262EFE42,T2,180
F,3061196X09,,,800,5/11/2015,18/11/15,5/11/2015,5/11/2015,611,7226110091C04100000000,1628.5,2790,18/11/15,282827,EXIT,EUA,15NL1D5243262EFE42,T2,180
S,3061202X01,,,900,5/11/2015,18/11/15,18/11/15,18/11/15,2640,7225110010C04100000000,1628.5,0,,283693,USED,,,T1,985
X,3061202X01SCRAP,,,200,18/11/15,,18/11/15,18/11/15,75,7.20429E+21,1628.5,0,,283693,ENTREPOT,,,T3,0
S,3061202X02,,,900,5/11/2015,5/11/2015,5/11/2015,5/11/2015,5045,7225110010C04100000000,1628.5,0,,283101,USED,,,T1,1000
X,3061202X02SCRAP,,,200,5/11/2015,,5/11/2015,5/11/2015,135,7.20429E+21,1628.5,0,,283101,ENTREPOT,,,T3,0
** No Customs-document record is available. (91),,,,,,,,,,,,,,,,,,,
F,3061202X03,,,800,5/11/2015,,5/11/2015,5/11/2015,4910,7225110010C04100000000,1628.5,2030,25/11/15,283101,EXIT,,,T2,975
S,3061202X04,,,200,18/11/15,,18/11/15,18/11/15,479,7226110091C04100000000,1628.5,0,,283693,EU,,,T2,180
S,3061202X05,,,200,18/11/15,,18/11/15,18/11/15,292,7226110091C04100000000,1628.5,0,,283693,EU,,,T2,110
S,3061202X06,,,200,18/11/15,,18/11/15,18/11/15,358,7226110091C04100000000,1628.5,0,,283693,EU,,,T2,135
S,3061202X07,,,200,18/11/15,,18/11/15,18/11/15,452,7226110091C04100000000,1628.5,0,,283693,EU,,,T2,170
S,3061202X08,,,200,18/11/15,,18/11/15,18/11/15,492,7226110091C04100000000,1628.5,0,,283693,EU,,,T2,185
S,3061202X09,,,900,18/11/15,,18/11/15,18/11/15,492,7226110091C04100000000,1628.5,0,,283693,USED,,,T2,185
S,3061573X28,,,900,5/11/2015,12/11/2015,12/11/2015,12/11/2015,82,7226110091C04100000000,1909.5,0,,283228,USED,,,T1,60
X,3061573X28SCRAP,,,200,12/11/2015,,12/11/2015,12/11/2015,12,7.20429E+21,1909.5,0,,283228,ENTREPOT,,,T3,0
F,3061573X29,,,800,12/11/2015,17/11/15,12/11/2015,12/11/2015,70,7226110091C04100000000,1909.5,2190,17/11/15,283228,EXIT,EUA,15NL1D3A9724AC8123,T2,50
S,3062158X15,,,900,26/08/15,,16/11/15,,798,7226110091C04100000000,1493.5,0,,283805,NEU,,,T1,420
X,3062158X15SCRAP,,,200,16/11/15,,16/11/15,16/11/15,77,7.20429E+21,1493.5,0,,283805,ENTREPOT,,,T3,0
S,3062158X16,,,900,26/08/15,,19/11/15,,721,7226110091C04100000000,1493.5,0,,283805,USED,,,T2,410
X,3062158X16SCRAP,,,200,19/11/15,,19/11/15,19/11/15,55,7.20429E+21,1493.5,0,,284161,ENTREPOT,,,T3,0
S,3062158X17,,,250,26/08/15,,19/11/15,,666,7226110091C04100000000,1493.5,0,,284161,EU,,,T2,390
F,3065151X15,,,800,10/11/2015,10/11/2015,10/11/2015,10/11/2015,692,7226110091C04100000000,1493.5,1805,18/11/15,282183,ENTREPOT,,,F1,410
S,3065164X01,,,900,4/11/2015,17/11/15,17/11/15,17/11/15,552,7226110091C04100000000,1493.5,0,,283057,USED,,,T1,180
X,3065164X01SCRAP,,,200,17/11/15,,17/11/15,17/11/15,68,7.20429E+21,1493.5,0,,283057,ENTREPOT,,,T3,0
** No Customs-document record is available. (91),,,,,,,,,,,,,,,,,,,
F,3065164X10,,,800,17/11/15,,17/11/15,17/11/15,484,7226110091C04100000000,1493.5,1805,23/11/15,283057,EXIT,,,T2,160
S,3066404X11,,,900,19/11/15,23/11/15,23/11/15,23/11/15,1003,7226110091C04100000000,1493.5,0,,284455,USED,,,T1,340
X,3066404X11SCRAP,,,200,23/11/15,,23/11/15,23/11/15,-3,7.20429E+21,1493.5,0,,284455,ENTREPOT,,,T3,0
** No Customs-document record is available. (91),,,,,,,,,,,,,,,,,,,
F,3066404X13,,,800,23/11/15,,23/11/15,23/11/15,409,7226110091C04100000000,1493.5,1805,27/11/15,284455,EXIT,,,T2,340
F,3066404X14,,,500,23/11/15,,23/11/15,23/11/15,597,7226110091C04100000000,1493.5,1805,,284455,EU,,,T2,340
S,3069149X15,,,900,5/11/2015,9/11/2015,9/11/2015,9/11/2015,504,7226110091C04100000000,1685,0,,283246,USED,,,T1,260
X,3069149X15SCRAP,,,200,9/11/2015,,9/11/2015,9/11/2015,23,7.20429E+21,1685,0,,283246,ENTREPOT,,,T3,0
F,3069149X16,,,500,9/11/2015,,9/11/2015,9/11/2015,153,7226110091C04100000000,1685,800,,283246,EU,,,T2,80
** No Customs-document record is available. (91),,,,,,,,,,,,,,,,,,,
F,3069149X17,,,800,9/11/2015,,9/11/2015,9/11/2015,328,7226110091C04100000000,1685,1950,11/11/2015,283246,EXIT,,,T2,170
S,3069549X25,,,900,12/11/2015,18/11/15,18/11/15,18/11/15,188,7226110091C04100000000,1789.5,0,,284240,USED,,,T1,140
X,3069549X25SCRAP,,,200,18/11/15,,18/11/15,18/11/15,30,7.20429E+21,1789.5,0,,284240,ENTREPOT,,,T3,0
** No Customs-document record is available. (91),,,,,,,,,,,,,,,,,,,
F,3069549X27,,,800,18/11/15,,18/11/15,18/11/15,158,7226110091C04100000000,1789.5,2015,20/11/15,284240,EXIT,,,T2,140
S,3070455X02,,,900,5/11/2015,9/11/2015,9/11/2015,9/11/2015,1039,7226110091C04100000000,1685,0,,283182,USED,,,T1,260
X,3070455X02SCRAP,,,200,9/11/2015,,9/11/2015,9/11/2015,56,7.20429E+21,1685,0,,283182,ENTREPOT,,,T3,0
** No Customs-document record is available. (91),,,,,,,,,,,,,,,,,,,
F,3070455X04,,,800,9/11/2015,,9/11/2015,9/11/2015,416,7226110091C04100000000,1685,1895,13/11/15,283182,EXIT,,,T2,260
S,3070455X05,,,900,9/11/2015,,9/11/2015,9/11/2015,567,7226110091C04100000000,1685,0,,283182,USED,,,T2,260
S,3070455X08,,,900,,,19/11/15,,593,7225110010C04100000000,1685,0,,284378,,,,T1,900
X,3070455X08SCRAP,,,200,19/11/15,,19/11/15,19/11/15,119,7.20429E+21,1685,0,,284378,ENTREPOT,,,T3,0
F,3070455X09,,,995,,,19/11/15,,239,8.5049E+21,1685,1895,25/11/15,284378,,,,T2,900
F,3070455X10,,,995,,,19/11/15,,235,8.5049E+21,1685,1895,26/11/15,284378,,,,T2,900
S,3070470X11,,,900,3/11/2015,5/11/2015,5/11/2015,5/11/2015,295,7226110091C04100000000,1685,0,,282869,USED,,,T1,130
X,3070470X11SCRAP,,,200,5/11/2015,,5/11/2015,5/11/2015,2,7.20429E+21,1685,0,,282869,ENTREPOT,,,T3,0
F,3070470X15,,,800,5/11/2015,18/11/15,5/11/2015,5/11/2015,293,7226110091C04100000000,1685,2400,18/11/15,282869,EXIT,EUA,15NL1D504E24553855,T2,130
S,3070470X16,,,900,5/11/2015,17/11/15,17/11/15,17/11/15,187,7226110091C04100000000,1685,0,,283957,USED,,,T1,90
X,3070470X16SCRAP,,,200,17/11/15,,17/11/15,17/11/15,12,7.20429E+21,1685,0,,283957,ENTREPOT,,,T3,0
F,3070470X18,,,400,17/11/15,,17/11/15,17/11/15,18,7226110091C04100000000,1685,800,,283957,EU,,,T2,25.4
F,3070470X19,,,400,17/11/15,,17/11/15,17/11/15,17,7226110091C04100000000,1685,800,,283957,EU,,,T2,25.4
F,3070470X20,,,400,17/11/15,,17/11/15,17/11/15,17,7226110091C04100000000,1685,800,,283957,EU,,,T2,25.4
S,3070470X21,,,200,17/11/15,17/11/15,17/11/15,17/11/15,123,7226110091C04100000000,1685,0,,283957,EU,,,T2,90
S,3070519X02,,,900,10/11/2015,20/11/15,20/11/15,20/11/15,2003,7225110010C04100000000,1685,0,,283597,USED,,,T1,1100
X,3070519X02SCRAP,,,200,20/11/15,,20/11/15,20/11/15,43,7.20429E+21,1685,0,,283597,ENTREPOT,,,T3,0
S,3070519X04,,,900,10/11/2015,20/11/15,20/11/15,20/11/15,1956,7225110010C04100000000,1685,0,,283598,USED,,,T1,1100
X,3070519X04SCRAP,,,200,20/11/15,,20/11/15,20/11/15,41,7.20429E+21,1685,0,,283598,ENTREPOT,,,T3,0
F,3070519X05,,,500,20/11/15,,20/11/15,20/11/15,508,7226110091C04100000000,1685,2020,,283597,EU,,,T2,280
** No Customs-document record is available. (91),,,,,,,,,,,,,,,,,,,
F,3070519X06,,,800,20/11/15,,20/11/15,20/11/15,1452,7225110010C04100000000,1685,1895,2/12/2015,283597,EXIT,,,T2,800
S,3070519X07,,,200,20/11/15,,20/11/15,20/11/15,496,7226110091C04100000000,1685,0,,283598,EU,,,T2,280
** No Customs-document record is available. (91),,,,,,,,,,,,,,,,,,,
F,3070519X08,,,800,20/11/15,,20/11/15,20/11/15,1419,7225110010C04100000000,1685,1895,2/12/2015,283598,EXIT,,,T2,800
S,3071567X11,,,900,13/11/15,18/11/15,18/11/15,18/11/15,254,7226110091C04100000000,1802.5,0,,284160,USED,,,T1,110
X,3071567X11SCRAP,,,200,18/11/15,,18/11/15,18/11/15,25,7.20429E+21,1802.5,0,,284160,ENTREPOT,,,T3,0
** No Customs-document record is available. (91),,,,,,,,,,,,,,,,,,,
F,3071567X13,,,800,18/11/15,,18/11/15,18/11/15,229,7226110091C04100000000,1802.5,2190,24/11/15,284160,EXIT,,,T2,100
S,3071568X22,,,900,5/10/2015,,16/11/15,,443,7226110091C04100000000,1802.5,0,,283905,NEU,,,T1,130
X,3071568X22SCRAP,,,200,16/11/15,,16/11/15,16/11/15,35,7.20429E+21,1802.5,0,,283905,ENTREPOT,,,T3,0
** No Customs-document record is available. (91),,,,,,,,,,,,,,,,,,,
F,3071568X25,,,800,5/10/2015,,16/11/15,,408,7226110091C04100000000,1802.5,2190,24/11/15,283905,EXIT,,,T2,120
F,3071578X29,,,800,12/11/2015,12/11/2015,12/11/2015,12/11/2015,119,7226110091C04100000000,1802.5,2190,17/11/15,283234,EXIT,EUA,15NL1D3A9724AC8123,F1,70
F,3071578X30,,,800,12/11/2015,12/11/2015,12/11/2015,12/11/2015,119,7226110091C04100000000,1802.5,2190,17/11/15,283234,EXIT,EUA,15NL1D3A9724AC8123,F1,70
F,3071578X31,,,800,12/11/2015,12/11/2015,12/11/2015,12/11/2015,170,7226110091C04100000000,1802.5,2190,17/11/15,283234,EXIT,EUA,15NL1D3A9724AC8123,F1,100
F,3071578X32,,,800,12/11/2015,12/11/2015,12/11/2015,12/11/2015,170,7226110091C04100000000,1802.5,2190,17/11/15,283234,EXIT,EUA,15NL1D3A9724AC8123,F1,100
F,3071578X33,,,800,12/11/2015,12/11/2015,12/11/2015,12/11/2015,187,7226110091C04100000000,1802.5,2190,17/11/15,283234,EXIT,EUA,15NL1D3A9724AC8123,F1,110
F,3071578X34,,,800,12/11/2015,12/11/2015,12/11/2015,12/11/2015,187,7226110091C04100000000,1802.5,2190,17/11/15,283234,EXIT,EUA,15NL1D3A9724AC8123,F1,110
F,3071578X35,,,800,12/11/2015,12/11/2015,12/11/2015,12/11/2015,255,7226110091C04100000000,1802.5,2190,20/11/15,283234,ENTREPOT,,,F1,150
F,3071578X36,,,800,12/11/2015,12/11/2015,12/11/2015,12/11/2015,290,7226110091C04100000000,1802.5,2190,17/11/15,283234,EXIT,EUA,15NL1D3A9724AC8123,F1,170
F,3071578X38,,,800,12/11/2015,12/11/2015,27/11/15,12/11/2015,93,7226110091C04100000000,1802.5,2190,8/12/2015,284303,EU,,,F1,70
S,3071628X02,,,900,6/10/2015,,6/11/2015,,2159,7225110010C04100000000,1682,0,,283221,NEU,,,T1,820
X,3071628X02SCRAP,,,200,6/11/2015,,6/11/2015,6/11/2015,9,7.20429E+21,1682,0,,283221,ENTREPOT,,,T3,0
** No Customs-document record is available. (91),,,,,,,,,,,,,,,,,,,
F,3071628X09,,,800,6/10/2015,,6/11/2015,,1090,7225110010C04100000000,1682,2015,16/11/15,283221,EXIT,,,T2,820
** No Customs-document record is available. (91),,,,,,,,,,,,,,,,,,,
F,3071628X10,,,800,6/10/2015,,6/11/2015,,1060,7225110010C04100000000,1682,2015,16/11/15,283221,EXIT,,,T2,820
S,3071638X09,,,900,5/10/2015,,20/11/15,,720,7226110091C04100000000,1682,0,,283751,NEU,,,T1,430
X,3071638X09SCRAP,,,200,20/11/15,,20/11/15,20/11/15,60,7.20429E+21,1682,0,,283751,ENTREPOT,,,T3,0
** No Customs-document record is available. (91),,,,,,,,,,,,,,,,,,,
F,3071638X11,,,800,5/10/2015,,20/11/15,,112,7226110091C04100000000,1682,2015,2/12/2015,283751,EXIT,,,T2,70
** No Customs-document record is available. (91),,,,,,,,,,,,,,,,,,,
F,3071638X12,,,800,5/10/2015,,20/11/15,,274,7226110091C04100000000,1682,2015,2/12/2015,283751,EXIT,,,T2,170
** No Customs-document record is available. (91),,,,,,,,,,,,,,,,,,,
F,3071638X13,,,800,5/10/2015,,20/11/15,,274,7226110091C04100000000,1682,2015,2/12/2015,283751,EXIT,,,T2,170
S,3074254X01,,,900,11/11/2015,16/11/15,16/11/15,16/11/15,213,7226110091C04100000000,1682,0,,283925,USED,,,T1,110
X,3074254X01SCRAP,,,200,16/11/15,,16/11/15,16/11/15,42,7.20429E+21,1682,0,,283925,ENTREPOT,,,T3,0
** No Customs-document record is available. (91),,,,,,,,,,,,,,,,,,,
F,3074254X07,,,800,16/11/15,,16/11/15,16/11/15,171,7226110091C04100000000,1682,2015,20/11/15,283925,EXIT,,,T2,90
S,3074256X02,,,900,10/11/2015,10/11/2015,10/11/2015,10/11/2015,1359,7226110011C04100000000,1682,0,,283528,USED,,,T1,540
X,3074256X02SCRAP,,,200,10/11/2015,,10/11/2015,10/11/2015,9,7.20429E+21,1682,0,,283528,ENTREPOT,,,T3,0
S,3074256X05,,,900,10/11/2015,20/11/15,20/11/15,20/11/15,1217,7226110011C04100000000,1682,0,,283743,USED,,,T1,540
X,3074256X05SCRAP,,,200,20/11/15,,20/11/15,20/11/15,47,7.20429E+21,1682,0,,283743,ENTREPOT,,,T3,0
F,3074256X07,,,800,10/11/2015,17/11/15,10/11/2015,10/11/2015,1350,7226110011C04100000000,1682,2467,17/11/15,283528,EXIT,EUA,15NL1D390F20A6FB03,T2,540
** No Customs-document record is available. (91),,,,,,,,,,,,,,,,,,,
F,3074256X08,,,800,20/11/15,,20/11/15,20/11/15,135,7226110091C04100000000,1682,2015,2/12/2015,283743,EXIT,,,T2,60
** No Customs-document record is available. (91),,,,,,,,,,,,,,,,,,,
F,3074256X09,,,800,20/11/15,,20/11/15,20/11/15,405,7226110091C04100000000,1682,2015,2/12/2015,283743,EXIT,,,T2,180
** No Customs-document record is available. (91),,,,,,,,,,,,,,,,,,,
F,3074256X10,,,800,20/11/15,,20/11/15,20/11/15,495,7226110091C04100000000,1682,2015,2/12/2015,283743,EXIT,,,T2,220
** No Customs-document record is available. (91),,,,,,,,,,,,,,,,,,,
F,3074256X11,,,800,20/11/15,,20/11/15,20/11/15,135,7226110091C04100000000,1682,2015,4/12/2015,283743,EXIT,,,T2,60
S,3074257X06,,,900,11/11/2015,12/11/2015,12/11/2015,12/11/2015,343,7226110091C04100000000,1682,0,,282978,USED,,,T1,180
X,3074257X06SCRAP,,,200,12/11/2015,,12/11/2015,12/11/2015,-3,7.20429E+21,1682,0,,282978,ENTREPOT,,,T3,0
S,3074257X13,,,900,11/11/2015,12/11/2015,12/11/2015,12/11/2015,477,7226110091C04100000000,1682,0,,282979,USED,,,T1,250
X,3074257X13SCRAP,,,200,12/11/2015,,12/11/2015,12/11/2015,9,7.20429E+21,1682,0,,282979,ENTREPOT,,,T3,0
** No Customs-document record is available. (91),,,,,,,,,,,,,,,,,,,
F,3074257X14,,,800,12/11/2015,,12/11/2015,12/11/2015,163,7226110091C04100000000,1682,2015,16/11/15,282978,EXIT,,,T2,180
** No Customs-document record is available. (91),,,,,,,,,,,,,,,,,,,
F,3074257X15,,,800,12/11/2015,,12/11/2015,12/11/2015,183,7226110091C04100000000,1682,2015,4/12/2015,282978,EXIT,,,T2,180
** No Customs-document record is available. (91),,,,,,,,,,,,,,,,,,,
F,3074257X16,,,800,12/11/2015,,12/11/2015,12/11/2015,238,7226110091C04100000000,1682,2015,16/11/15,282979,EXIT,,,T2,250
S,3074257X17,,,500,12/11/2015,,12/11/2015,12/11/2015,230,7226110091C04100000000,1682,0,,282979,EU,,,T2,250
S,3074267X03,,,900,10/11/2015,20/11/15,20/11/15,20/11/15,1364,7226110011C04100000000,1682,0,,283555,USED,,,T1,580
X,3074267X03SCRAP,,,200,20/11/15,,20/11/15,20/11/15,99,7.20429E+21,1682,0,,283555,ENTREPOT,,,T3,0
** No Customs-document record is available. (91),,,,,,,,,,,,,,,,,,,
F,3074267X10,,,800,20/11/15,,20/11/15,20/11/15,206,7226110091C04100000000,1682,2015,26/11/15,283555,EXIT,,,T2,90
** No Customs-document record is available. (91),,,,,,,,,,,,,,,,,,,
F,3074267X11,,,800,20/11/15,,20/11/15,20/11/15,299,7226110091C04100000000,1682,2520,3/12/2015,283555,EXIT,,,T2,130
F,3074267X12,,,800,20/11/15,26/11/15,20/11/15,20/11/15,368,7226110091C04100000000,1682,2790,26/11/15,283555,EXIT,EUA,15NL1E0E972BE655E0,T2,160
** No Customs-document record is available. (91),,,,,,,,,,,,,,,,,,,
F,3074267X13,,,800,20/11/15,,20/11/15,20/11/15,392,7226110091C04100000000,1682,2015,26/11/15,283555,EXIT,,,T2,170
S,3074269X11,,,900,5/11/2015,20/11/15,20/11/15,20/11/15,211,7226110091C04100000000,1682,0,,283418,USED,,,T1,120
X,3074269X11SCRAP,,,200,20/11/15,,20/11/15,20/11/15,21,7.20429E+21,1682,0,,283418,ENTREPOT,,,T3,0
S,3074269X17,,,900,5/11/2015,20/11/15,20/11/15,20/11/15,368,7226110091C04100000000,1682,0,,283408,USED,,,T1,120
X,3074269X17SCRAP,,,200,20/11/15,,20/11/15,20/11/15,95,7.20429E+21,1682,0,,283408,ENTREPOT,,,T3,0
** No Customs-document record is available. (91),,,,,,,,,,,,,,,,,,,
F,3074269X25,,,800,20/11/15,,20/11/15,20/11/15,273,7226110091C04100000000,1682,2015,25/11/15,283408,EXIT,,,T2,90
** No Customs-document record is available. (91),,,,,,,,,,,,,,,,,,,
F,3074269X26,,,800,20/11/15,,20/11/15,20/11/15,190,7226110091C04100000000,1682,2015,26/11/15,283418,EXIT,,,T2,110
S,3074271X03,,,900,9/11/2015,20/11/15,20/11/15,20/11/15,345,7226110091C04100000000,1682,0,,283406,USED,,,T1,100
X,3074271X03SCRAP,,,200,20/11/15,,20/11/15,20/11/15,34,7.20429E+21,1682,0,,283406,ENTREPOT,,,T3,0
S,3074271X08,,,900,9/11/2015,20/11/15,20/11/15,20/11/15,346,7226110091C04100000000,1682,0,,283407,USED,,,T1,100
X,3074271X08SCRAP,,,200,20/11/15,,20/11/15,20/11/15,37,7.20429E+21,1682,0,,283407,ENTREPOT,,,T3,0
** No Customs-document record is available. (91),,,,,,,,,,,,,,,,,,,
F,3074271X11,,,800,20/11/15,,20/11/15,20/11/15,311,7226110091C04100000000,1682,2015,25/11/15,283406,EXIT,,,T2,90
** No Customs-document record is available. (91),,,,,,,,,,,,,,,,,,,
F,3074271X12,,,800,20/11/15,,20/11/15,20/11/15,309,7226110091C04100000000,1682,2015,25/11/15,283407,EXIT,,,T2,90
S,3074274X08,,,900,4/11/2015,16/11/15,16/11/15,16/11/15,448,7226110091C04100000000,1682,0,,283061,USED,,,T1,190
X,3074274X08SCRAP,,,200,16/11/15,,16/11/15,16/11/15,33,7.20429E+21,1682,0,,283061,ENTREPOT,,,T3,0
** No Customs-document record is available. (91),,,,,,,,,,,,,,,,,,,
F,3074274X17,,,800,16/11/15,,16/11/15,16/11/15,415,7226110091C04100000000,1682,2015,24/11/15,283061,EXIT,,,T2,180
S,3074275X11,,,900,5/11/2015,11/11/2015,11/11/2015,11/11/2015,1613,7225110010C04100000000,1682,0,,283115,USED,,,T1,820
X,3074275X11SCRAP,,,200,11/11/2015,,11/11/2015,11/11/2015,43,7.20429E+21,1682,0,,283115,ENTREPOT,,,T3,0
S,3074275X16,,,900,11/11/2015,,11/11/2015,11/11/2015,431,7226110091C04100000000,1682,0,,283115,USED,,,T2,220
F,3074275X17,,,800,11/11/2015,16/11/15,11/11/2015,11/11/2015,1139,7226110011C04100000000,1682,2467,16/11/15,283115,EXIT,EUA,15NL1D2785270F28D8,T2,580
S,3074278X03,,,900,11/11/2015,20/11/15,20/11/15,20/11/15,1043,7226110011C04100000000,1682,0,,283745,USED,,,T1,520
X,3074278X03SCRAP,,,200,20/11/15,,20/11/15,20/11/15,43,7.20429E+21,1682,0,,283745,ENTREPOT,,,T3,0
S,3074278X04,,,900,11/11/2015,20/11/15,20/11/15,20/11/15,942,7226110091C04100000000,1682,0,,283747,USED,,,T1,470
X,3074278X04SCRAP,,,200,20/11/15,,20/11/15,20/11/15,27,7.20429E+21,1682,0,,283747,ENTREPOT,,,T3,0
